"Année","Essences","Lampant","Fuel","Gasoil","Jet","GPL","Petcoke","White spirit","Total"
"2005","217.42","0","705.64","1207.21","222.64","351.07","185.22","0","2889.2"
"2006","162","0","698","1305","227","341.4","267","0","3000.4"
"2007","237.7","0","789.99","1284.13","220.68","359.82","330.04","0","3222.36"
"2008","313.63","0","591.46","1305.87","219.79","339.4","393.4","0.06","3163.61"
"2009","300.56","0","499.18","1180.82","193.1","334.83","406.03","0.06","2914.58"
"2010","437.26","37.48","379.23","1714.89","249.5","349.34","449.28","12.56","3629.54"
"2011","527.15","13.72","238.77","1389.82","238.47","337.38","371.37","1.71","3118.39"
"2012","488.71","0","278.61","1014","299.87","319.35","552.39","0","2952.93"
"2013","482.62","0","241.3","1013.4","303.75","325.34","557.46","0","2923.87"
"2014","534.72","0","258.09","1150.89","257.97","342.07","820.09","0","3363.83"
"2015","560.06","0","568.45","1454.02","203.14","384.06","758.28","0","3928.01"
"2016","516.35","0","230.01","1504.75","224.68","363.4","869.01","0","3708.2"
"2017","529.86","0","222.45","1730.92","249.78","419.88","753.95","0","3906.84"
"2018","649.81","0","275.71","1674.67","284.1","442.68","652.41","2.3","3981.68"
"2019","663.56","0","222.55","1914.06","302.4","495","705.37","2.25","4305.19"
"2020","663.35","0","158.98","1431.02","91.42","472.38","630.99","0","3479.48"
"2021","618.89","0","187.73","1360.25","134.79","484.93","762.54","0","3584.36"
