"Année","Zarzaitine","Ashtart","TOTAL"
"2005","2172.22","1231.99","3404.21"
"2006","2205.5","1054.9","3260.4"
"2007","2991.46","1554.64","4546.11"
"2008","2662.53","1480.26","4142.78"
"2009","2658.74","1225.46","3884.2"
"2010","2802.92","860.11","3663.03"
"2011","2564.7","642.34","3207.04"
"2012","2544.8","621.62","3166.41"
"2013","2273.23","575.86","2849.09"
"2014","2043.84","499.23","2543.07"
"2015","1820.01","490.05","2310.06"
"2016","1617.64","550.54","2168.19"
"2017","1338.13","492.66","1830.79"
"2018","1334.13","461.61","1795.74"
"2019","1237.36","426.46","1663.82"
"2020","1093.03","437","1530.03"
"2021","1170.27","735.21","1905.48"
