"Année","Tataouin","Sfax","Kebili","kassrine","Nebeul","Medenine","Mahdia","Total"
"2005","1538.3","1058.7","0","0","0","282.4","91","2970"
"2006","1557.2","1037.08","137.5","30.9","108.8","284.9","77.4","3234"
"2007","1762.5","1065.67","125.4","26.8","716.74","770.4","65","4533"
"2008","1979.2","1143.89","116.9","24.1","197","606.2","60.8","4128"
"2009","1988.4","1003.43","134.3","24.8","169.87","507.9","54.2","3883"
"2010","1692.9","1160.12","94.1","27.8","391.66","245.1","51.3","3663"
"2011","1489.8","1134.8","56.9","27","298.61","174.4","25.7","3207"
"2012","1584.3","1207.1","50.7","18.1","135.52","134.4","36.3","3166"
"2013","1361.9","1179.8","43.6","22.7","115","81.1","45.2","2849"
"2014","1255.2","975.7","48.7","23","96.3","104.3","39.9","2543"
"2015","981.2","891.1","177.2","20.4","129.9","74.3","35.9","2310"
"2016","882.3","909.4","158.6","19.2","104.5","58.9","35.3","2168"
"2017","728.7","832.1","93.3","16","87.7","41.7","31.6","1831"
"2018","784.57","741.35","154.45","15.04","31.35","37.82","31.89","1796"
"2019","742.12","679.32","139.72","13.33","25.9","35.48","28.01","1664"
